trial,accuracy,kappa,bands,status;;;;;;;;;;;;;;
63,57.00,0.289,BSI;GLCM_SR_B6_idm_3;GLCM_SR_B6_contrast_7;SAVI;Fe_Oxide_Index;Clay_Index;NDMI;TCG;NDWI;GLCM_SR_B6_contrast_3;GLCM_SR_B6_ent_3;TNDI;TCW;TCB;GLCM_SR_B5_contrast_3,OK
64,55.67,0.279,TNR;NDMI;Fe_Composite_Index;GLCM_SR_B6_ent_7;GLCM_SR_B6_idm_7;NDWI;TCG;GLCM_SR_B5_var_3;NDVI;TCW;GLCM_SR_B6_ent_3;GLCM_SR_B6_idm_3;Close_3;GLCM_SR_B5_contrast_7;GLCM_SR_B6_var_3,OK
65,57.67,0.294,Open_3;GLCM_SR_B6_idm_3;GLCM_SR_B6_idm_7;GLCM_SR_B6_ent_7;Close_3;TCG;EVI;Granulo_7;GLCM_SR_B7_contrast_3;TCW;Clay_Index;NDMI;GLCM_SR_B6_var_3;NDVI;TCB,OK
66,56.00,0.294,Close_3;NBLI;TNR;TCI;GLCM_SR_B6_ent_7;Granulo_7;SAVI;GLCM_SR_B6_idm_3;GLCM_SR_B6_contrast_3;GLCM_SR_B6_contrast_7;WDI;BSI;MNDWI;Open_3;NDWI,OK
67,59.67,0.309,Close_3;SAVI;GLCM_SR_B5_contrast_3;TCG;GLCM_SR_B6_ent_3;TNDI;Fe_Composite_Index;GLCM_SR_B7_contrast_3;GLCM_SR_B6_idm_3;GLCM_SR_B6_idm_7;NDWI;EVI;TCI;TCB;Fe_Oxide_Index,OK
68,55.00,0.287,GLCM_SR_B6_contrast_7;GLCM_SR_B6_idm_3;MNDWI;SAVI;GLCM_SR_B5_contrast_3;TCI;NDMI;GLCM_SR_B6_contrast_3;TNR;GLCM_SR_B5_var_3;GLCM_SR_B7_contrast_3;NDBI;Close_3;TNDI;GLCM_SR_B6_ent_7,OK
69,57.00,0.289,GLCM_SR_B6_ent_7;NDVI;NDMI;GLCM_SR_B6_idm_7;GLCM_SR_B5_contrast_3;Clay_Index;GLCM_SR_B5_var_3;Close_3;TCG;NBLI;GLCM_SR_B6_contrast_7;WDI;Clay_Ratio;NDBI;SAVI,OK
70,57.00,0.289,TNR;Clay_Ratio;NDWI;NDVI;GLCM_SR_B5_contrast_7;TCG;EVI;WDI;Open_3;GLCM_SR_B7_contrast_3;GLCM_SR_B6_contrast_7;Fe_Oxide_Index;NBLI;SAVI;Close_3,OK
71,58.00,0.296,GLCM_SR_B6_contrast_7;TNR;NBLI;SAVI;GLCM_SR_B6_ent_7;Granulo_7;GLCM_SR_B5_contrast_3;GLCM_SR_B6_contrast_3;WDI;TNDI;GLCM_SR_B6_ent_3;TCG;EVI;Open_3;GLCM_SR_B7_contrast_3,OK
72,56.33,0.284,TCW;GLCM_SR_B5_contrast_3;GLCM_SR_B6_ent_7;TCB;NDWI;Fe_Composite_Index;NDMI;GLCM_SR_B6_idm_7;TNR;Fe_Oxide_Index;TCG;EVI;GLCM_SR_B5_contrast_7;NBLI;BSI,OK
73,58.00,0.296,Granulo_7;MNDWI;BSI;Clay_Ratio;GLCM_SR_B5_contrast_3;NDBI;SAVI;NDVI;GLCM_SR_B6_idm_3;TNR;Fe_Composite_Index;NDMI;GLCM_SR_B6_ent_7;GLCM_SR_B7_contrast_3;WDI,OK
